zip5,sumtotal
92821,8308.33
11758,8305.56
33437,8305
29650,8303.31
30741,8299.68
93908,8295.76
43082,8291.41
32118,8288.91
33173,8288.81
93536,8284.74
17042,8284.14
39211,8282.97
92020,8275.7
23464,8273.9
75154,8270.81
29651,8266.98
27606,8266.3
60031,8262.64
31733,8260
22044,8259.27
85284,8254.3
92399,8253.84
20132,8245.75
34292,8228.59
83709,8227.18
75501,8225.66
48430,8224.9
75503,8220.35
33405,8219.98
32780,8216.28
98007,8205.55
97703,8198.31
94598,8183.91
32803,8180.07
23103,8174.19
97068,8157.3
30252,8153.14
44011,8152.45
59911,8149.95
37415,8146.93
19106,8141.66
89701,8140.48
71105,8137.08
60467,8129.15
43623,8124.37
33434,8113.29
74121,8099.99
66206,8098.49
80015,8097.31
32128,8086.8
75074,8083.03
68046,8076.57
80465,8070.32
37220,8062.18
30534,8058.11
96816,8057.28
07470,8054.63
50023,8051.02
31419,8049.32
39401,8045.82
90815,8040.95
66061,8033.21
55356,8031.67
77386,8030.43
94538,8028.15
92117,8024.56
89423,8023.78
98056,8023.44
77493,8009.99
23322,7998.29
77384,7991.61
17015,7988.87
24236,7983.33
46845,7979.32
29206,7979.16
59714,7974.14
90020,7970.48
34683,7969.76
15044,7965.59
90211,7962.81
11010,7961.64
92563,7956.34
77904,7949.31
32408,7943.97
85614,7943.25
17033,7942.46
98683,7934.13
85351,7925.31
06890,7925
89148,7923.91
94107,7918.16
31322,7910.02
20124,7907.99
77346,7904.62
76182,7903.6
33403,7898.33
28451,7895.59
18071,7890
06611,7888.94
33186,7883.04
87505,7881.68
51106,7880.81
33596,7879.58
32168,7879.43
02043,7874.35
94939,7872.99
76401,7872.65
84105,7869.98
30813,7867.65
80022,7860.32
46062,7859.81
07733,7850.74
90048,7849.42
95765,7840.51
32086,7838.31
20170,7825.53
71913,7824.25
10001,7818.16
07901,7815.83
31794,7813.53
53097,7811.66
73012,7810.48
96003,7806.58
77377,7806.25
42001,7805.44
80228,7802.46
30241,7802.35
95008,7799.4
73170,7795.63
78240,7792.11
83404,7781.07
87123,7776.63
18974,7776.03
92782,7775.47
86314,7767.3
31820,7764.33
35244,7755.93
75381,7755
29501,7750.24
30044,7747.82
87124,7743.69
94588,7742.78
92101,7741.03
95125,7739.98
78645,7735.97
07921,7735.8
48302,7735.73
93428,7719.17
94596,7714.93
30016,7710.29
94502,7706.31
19425,7705.82
30214,7705.41
53005,7703.32
71107,7701.11
32327,7697.65
15090,7695.76
93454,7683.73
33715,7679.3
91355,7674.94
98584,7671.81
27608,7671.64
30132,7667.69
37122,7665.3
77082,7656.18
92637,7652.47
87109,7652.3
54115,7649.63
07675,7649.56
80538,7645.37
